Threshold,KKI,COX2,COX2_MD,DHFR,DBLP-v1,MSRC-21
0.5,0.98000,0.98350,0.986878,0.99844,0.99665,0.99708
0.6,0.97902,0.98338,0.988124,0.99858,0.98489,0.99653
0.7,0.97694,0.98331,0.989057,0.99871,0.97041,0.99558
0.8,0.97152,0.98292,0.990178,0.99886,0.95907,0.99387
0.9,0.94798,0.98175,0.991633,0.99907,0.94187,0.98945
0.91,0.94257,0.98141,0.991643,0.99909,0.93391,0.98868
0.92,0.93601,0.98109,0.991564,0.99912,0.92806,0.98773
0.93,0.92587,0.98069,0.991401,0.99916,0.91944,0.98663
0.94,0.91253,0.98020,0.991135,0.99920,0.90842,0.98527
0.95,0.89541,0.97954,0.990508,0.99923,0.89683,0.98357
0.96,0.87073,0.97873,0.989358,0.99927,0.87961,0.98118
0.97,0.83527,0.97745,0.985655,0.99931,0.86178,0.97762
0.98,0.76638,0.97460,0.971217,0.99937,0.83496,0.97152
0.99,0.59346,0.96548,0.949189,0.99934,0.78427,0.95789